 success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r
1,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.1,0.34,0.42,0.0,0.0,0.0,0.0
1,0.02,0.16,0.6,0.0,0.12,0.03,0.06,0.32,0.57,0.26,0.07,0.0,0.0,0.0
1,0.02,0.16,0.55,0.0,0.25,0.03,0.11,0.45,0.72,0.16,0.13,0.0,0.0,0.0
1,0.0,0.18,0.53,0.0,0.31,0.0,0.14,0.46,0.76,0.09,0.13,0.0,0.0,0.0
1,0.0,0.22,0.68,0.0,0.29,0.0,0.12,0.38,0.87,0.11,0.12,0.0,0.0,0.0
1,0.0,0.22,0.65,0.0,0.25,0.0,0.1,0.33,0.94,0.1,0.14,0.0,0.0,0.0
1,0.0,0.06,0.6,0.0,0.22,0.0,0.06,0.28,0.86,0.08,0.08,0.0,0.0,0.0
1,0.0,0.03,0.56,0.0,0.2,0.0,0.03,0.21,0.77,0.14,0.08,0.0,0.0,0.0
1,0.0,0.07,0.63,0.0,0.17,0.0,0.0,0.11,0.57,0.19,0.0,0.0,0.0,0.0
1,0.0,0.1,0.6,0.0,0.18,0.0,0.0,0.04,0.54,0.3,0.0,0.0,0.0,0.0
1,0.0,0.1,0.58,0.0,0.21,0.0,0.0,0.01,0.55,0.34,0.0,0.0,0.0,0.0
1,0.0,0.05,0.37,0.0,0.15,0.0,0.0,0.01,0.41,0.25,0.0,0.0,0.0,0.0
1,0.0,0.0,0.21,0.0,0.09,0.0,0.0,0.01,0.25,0.12,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.03,0.12,0.04,0.04,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.13,0.04,0.04,0.0,0.0,0.0
1,0.0,0.0,0.0,0.03,0.07,0.0,0.0,0.03,0.19,0.04,0.1,0.0,0.0,0.0
1,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.01,0.14,0.02,0.07,0.0,0.0,0.0
1,0.0,0.0,0.0,0.07,0.04,0.0,0.0,0.01,0.28,0.03,0.09,0.0,0.0,0.0
1,0.0,0.0,0.0,0.05,0.03,0.0,0.0,0.01,0.31,0.03,0.11,0.0,0.0,0.0
1,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.03,0.4,0.01,0.13,0.0,0.0,0.0
1,0.0,0.0,0.03,0.04,0.08,0.0,0.0,0.03,0.45,0.0,0.19,0.0,0.0,0.0
1,0.0,0.0,0.07,0.03,0.12,0.0,0.0,0.04,0.5,0.0,0.17,0.0,0.0,0.0
1,0.0,0.0,0.11,0.07,0.16,0.0,0.0,0.01,0.54,0.0,0.24,0.0,0.0,0.0
1,0.0,0.0,0.09,0.04,0.16,0.05,0.0,0.01,0.42,0.0,0.16,0.0,0.17,0.11
1,0.0,0.0,0.1,0.04,0.23,0.07,0.0,0.0,0.34,0.0,0.14,0.0,0.34,0.21
1,0.0,0.0,0.1,0.0,0.3,0.07,0.0,0.0,0.21,0.0,0.14,0.0,0.51,0.28
1,0.0,0.0,0.12,0.0,0.34,0.02,0.0,0.0,0.21,0.0,0.21,0.0,0.48,0.23
1,0.0,0.0,0.11,0.0,0.34,0.0,0.0,0.0,0.2,0.0,0.23,0.0,0.42,0.22
1,0.0,0.0,0.06,0.0,0.35,0.0,0.0,0.0,0.23,0.0,0.21,0.0,0.41,0.28
1,0.0,0.0,0.03,0.0,0.35,0.0,0.0,0.0,0.21,0.0,0.24,0.0,0.39,0.37
1,0.0,0.0,0.04,0.0,0.34,0.0,0.0,0.0,0.12,0.0,0.28,0.0,0.43,0.4
1,0.0,0.0,0.04,0.0,0.3,0.0,0.0,0.0,0.08,0.0,0.31,0.0,0.41,0.4
1,0.0,0.0,0.06,0.0,0.25,0.0,0.0,0.0,0.08,0.0,0.25,0.0,0.4,0.37
1,0.0,0.0,0.15,0.0,0.18,0.0,0.0,0.0,0.08,0.06,0.21,0.0,0.46,0.36
1,0.0,0.0,0.34,0.0,0.18,0.0,0.0,0.0,0.04,0.08,0.19,0.0,0.43,0.35
1,0.0,0.0,0.31,0.0,0.13,0.04,0.0,0.0,0.0,0.08,0.14,0.04,0.51,0.32
1,0.0,0.0,0.19,0.04,0.12,0.04,0.0,0.0,0.0,0.02,0.08,0.04,0.51,0.34
1,0.0,0.0,0.03,0.04,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.04,0.65,0.45
1,0.0,0.0,0.11,0.04,0.16,0.1,0.0,0.03,0.0,0.0,0.0,0.0,0.72,0.58
1,0.0,0.0,0.16,0.0,0.14,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.59,0.56
1,0.0,0.0,0.32,0.0,0.24,0.12,0.0,0.19,0.0,0.0,0.0,0.0,0.67,0.57
1,0.01,0.0,0.46,0.0,0.15,0.03,0.0,0.17,0.0,0.0,0.0,0.0,0.87,0.6
1,0.02,0.0,0.69,0.0,0.23,0.03,0.0,0.16,0.01,0.0,0.08,0.0,1.04,0.79
1,0.3,0.0,0.6,0.0,0.13,0.0,0.0,0.07,0.01,0.0,0.08,0.0,1.2,0.96
1,0.41,0.11,0.43,0.0,0.08,0.0,0.0,0.17,0.01,0.0,0.17,0.0,1.06,1.07
1,0.4,0.11,0.36,0.0,0.0,0.05,0.0,0.11,0.0,0.0,0.09,0.0,0.92,1.02
1,0.12,0.11,0.26,0.0,0.0,0.05,0.0,0.11,0.0,0.0,0.09,0.0,0.61,0.95
1,0.0,0.0,0.22,0.22,0.0,0.05,0.0,0.0,0.19,0.0,0.13,0.0,0.33,0.88
1,0.0,0.0,0.1,0.45,0.0,0.0,0.0,0.0,0.19,0.0,0.34,0.0,0.24,1.02
1,0.0,0.0,0.21,0.89,0.0,0.0,0.0,0.0,0.26,0.0,0.54,0.14,0.07,1.16
1,0.0,0.0,0.21,0.85,0.0,0.0,0.0,0.0,0.11,0.0,0.68,0.19,0.17,1.5
1,0.05,0.0,0.11,0.62,0.0,0.0,0.0,0.0,0.22,0.08,0.98,0.19,0.29,1.78
1,0.05,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.21,0.08,1.1,0.06,0.31,2.02
1,0.05,0.0,0.05,0.06,0.06,0.0,0.0,0.04,0.37,0.08,1.05,0.01,0.31,2.1
1,0.0,0.0,0.05,0.33,0.06,0.0,0.0,0.04,0.31,0.0,0.73,0.0,0.26,2.29
1,0.0,0.0,0.25,0.42,0.06,0.0,0.0,0.04,0.33,0.0,0.65,0.0,0.41,2.5
1,0.0,0.0,0.54,0.69,0.0,0.0,0.0,0.0,0.13,0.0,0.62,0.0,0.29,2.69
1,0.0,0.0,0.86,0.56,0.0,0.0,0.0,0.0,0.09,0.0,0.62,0.0,0.22,2.72
1,0.0,0.0,1.05,0.47,0.0,0.0,0.0,0.0,0.01,0.0,0.53,0.0,0.06,2.61
