,0,1,2,3,4,5
0,11143,11010,11090,10784,8430,8708
1,11353,11173,11220,11164,10657,10757
2,10779,10706,10306,10950,9927,10350
3,21980,21545,22055,21641,21079,21169
4,13610,13937,13538,13668,12536,12864
5,11904,12134,12034,12001,11124,11137
6,11704,11489,11538,11562,11032,11233
7,8299,8073,8264,8202,8024,7981
8,8951,9006,8803,8813,8410,8320
9,11769,11629,11754,11799,11369,11321
10,11898,11679,11882,11680,11488,10878
11,14776,14788,14748,14754,14279,14131
12,11706,11625,11723,11570,11487,11279
13,10089,10133,10128,10053,9842,9791
14,12265,12058,12791,12949,11962,12300
15,9460,9527,9583,9558,9065,9093
16,9564,9082,9685,9696,8211,8036
17,15191,15024,15229,14857,14660,14152
18,10141,9672,10004,9903,9941,9398
19,10696,10585,10279,10470,10180,10170
20,12062,11747,12082,12089,11392,10937
21,11989,11888,12063,12305,10540,10309
22,13771,13559,13623,13634,12519,12939
23,13969,13962,13499,13799,12903,13175
24,11471,11327,11630,11425,10927,10958
25,13154,13293,12949,12913,12868,12692
26,27077,27049,26492,26525,24980,25332
27,8611,7917,8661,8400,8053,8168
28,12239,11876,11784,11690,11524,11567
29,8338,8242,8362,8420,8088,8076
30,21468,21313,21321,21468,20284,19984
31,17688,17144,17611,17726,16264,16667
32,18304,18035,18260,18140,17089,17699
33,8460,8408,8545,8553,8191,8088
34,14581,14497,14873,14824,13680,13636
35,18809,18510,18717,18737,17449,18390
36,12615,12427,12730,12593,11705,11728
37,13813,13330,14182,14218,13826,13885
38,27572,27252,26932,26893,26202,26050
39,15436,14921,15148,15275,14115,14985
40,11576,10996,11839,11369,11230,10828
41,19326,19088,18651,18751,16708,17296
42,14979,14812,14606,14612,13242,13924
43,7410,7211,6916,6996,6782,6754
44,14753,14568,14865,15043,13185,13681
45,8178,8227,8211,8050,7696,7542
46,11334,11146,11271,11405,9925,9910
47,11103,10910,10663,10613,10265,10511
48,19148,19163,19365,19271,18574,18505
49,9649,9362,9692,9694,9232,9338
50,9140,8924,9329,9269,8836,8673
51,8371,8376,8242,8160,7970,7972
52,12565,12215,12608,12333,11147,11704
53,10829,11032,10202,10494,9845,10148
54,13963,13559,13966,14170,12625,13000
55,10174,10152,10279,10174,9850,9837
56,13182,13275,12938,12994,12525,12526
57,13239,13246,13104,12996,12569,12542
58,11690,11635,11653,11578,11112,10882
59,12192,12001,12148,12293,11739,11707
60,15764,15560,15916,16195,14749,15220
61,22472,22449,22431,22418,20256,20718
62,10099,10063,10003,9995,9725,9999
63,18209,17038,18091,18063,17669,17726
64,10053,9994,10124,10079,9188,9425
65,14359,14455,14167,14549,13472,13812
66,15139,15130,15166,15156,11992,13485
67,19819,19080,19476,19328,17903,18337
68,12444,11769,11949,11584,11554,11872
69,13569,13539,13806,13719,13082,13100
70,14029,13838,14357,14070,13404,13266
71,11146,11063,10922,10854,10649,10607
72,12079,11803,11617,11870,11173,11414
73,12512,12336,12440,12265,11896,11809
74,14328,14090,14082,13924,13296,13232
75,12969,12817,12540,12848,12225,12780
76,10141,9672,10004,9903,9941,9398
77,12149,11676,12420,12075,11939,11730
78,19145,18828,18889,18875,17080,17623
79,14169,13931,14433,14272,12787,13301
80,15139,15525,15262,15219,13447,14280
81,16461,16344,16631,16613,15391,15495
82,11919,11847,11653,11722,11451,11337
83,12238,12420,12660,12661,11436,11787
84,9759,9777,9638,9724,9499,9551
85,13553,13074,13978,13927,13046,12984
86,13039,12592,13170,12998,12142,12568
87,11671,11977,11781,11806,11123,11551
88,11437,11482,10950,11212,10731,11001
89,11400,11130,11252,11282,10924,11058
90,17362,17416,17318,17294,16164,16389
91,16596,16392,16646,16419,15711,15910
92,9615,9534,9439,9574,7401,8720
93,11526,11478,11165,11263,10993,11288
94,20547,20164,20747,20796,19230,19854
95,18646,18652,18581,18516,17807,17864
96,19977,19667,19637,19625,18710,18935
